epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,7351.61,1.18998,0.9673,1.3003,0.84534,0.63908,0.74318,0.47923,1.62876,1.2818,1.62085,0.0009506,0.0009506,0.0009506
55,7489.13,1.17977,0.94365,1.29752,0.82919,0.64534,0.74034,0.47553,1.64308,1.33443,1.636,0.0009308,0.0009308,0.0009308
56,7624.33,1.16948,0.94413,1.29044,0.80946,0.65243,0.74485,0.47598,1.64964,1.30411,1.63804,0.000911,0.000911,0.000911
57,7758.88,1.15884,0.91083,1.28484,0.85228,0.62573,0.74164,0.48131,1.64193,1.30167,1.64243,0.0008912,0.0008912,0.0008912
58,7893.61,1.14535,0.9008,1.28041,0.84367,0.63695,0.74194,0.47925,1.65244,1.30819,1.63468,0.0008714,0.0008714,0.0008714
59,8027.48,1.12786,0.87852,1.25743,0.78681,0.65937,0.74267,0.47963,1.65067,1.2911,1.62933,0.0008516,0.0008516,0.0008516
60,8161.76,1.13916,0.89589,1.2636,0.81584,0.65281,0.7442,0.47824,1.66041,1.27603,1.65096,0.0008318,0.0008318,0.0008318
61,8296.13,1.14625,0.89817,1.27259,0.82946,0.6518,0.7481,0.4826,1.64399,1.26713,1.6279,0.000812,0.000812,0.000812
62,8430.31,1.13672,0.87967,1.27327,0.81526,0.66524,0.75,0.48787,1.64708,1.2569,1.63363,0.0007922,0.0007922,0.0007922
63,8566.99,1.1319,0.86884,1.26528,0.80931,0.65029,0.73473,0.47826,1.6549,1.33688,1.64304,0.0007724,0.0007724,0.0007724
64,8701.52,1.10935,0.84513,1.24701,0.85323,0.65403,0.75004,0.48297,1.66034,1.25299,1.65132,0.0007526,0.0007526,0.0007526
65,8835.53,1.10479,0.83936,1.24653,0.831,0.65884,0.74856,0.48621,1.64216,1.28133,1.62484,0.0007328,0.0007328,0.0007328
66,8970.01,1.09666,0.83666,1.23843,0.83478,0.65617,0.75151,0.48803,1.63551,1.26274,1.63446,0.000713,0.000713,0.000713
67,9107.13,1.09964,0.83268,1.24736,0.8679,0.65598,0.75487,0.48217,1.65487,1.24688,1.6411,0.0006932,0.0006932,0.0006932
68,9240.81,1.09139,0.81978,1.23252,0.84671,0.66944,0.75869,0.49038,1.6414,1.23603,1.62899,0.0006734,0.0006734,0.0006734
69,9376.09,1.09292,0.82156,1.2335,0.83175,0.6651,0.75409,0.48771,1.65764,1.24687,1.64078,0.0006536,0.0006536,0.0006536
70,9510.75,1.07735,0.80866,1.22483,0.86015,0.64976,0.75144,0.48922,1.64896,1.24844,1.6361,0.0006338,0.0006338,0.0006338
71,9645.52,1.07359,0.79623,1.22467,0.84283,0.66424,0.74931,0.48507,1.6587,1.26682,1.65798,0.000614,0.000614,0.000614
72,9780.3,1.06371,0.78365,1.21294,0.79782,0.6826,0.74628,0.48862,1.66581,1.2723,1.6531,0.0005942,0.0005942,0.0005942
73,9914.55,1.04628,0.76875,1.20669,0.8338,0.65723,0.75208,0.49313,1.63282,1.25809,1.63113,0.0005744,0.0005744,0.0005744
74,10049.7,1.05199,0.77215,1.20719,0.82617,0.66631,0.75413,0.48806,1.64311,1.25628,1.65166,0.0005546,0.0005546,0.0005546
75,10184.6,1.03186,0.75643,1.1966,0.85247,0.6567,0.75688,0.49407,1.64902,1.24411,1.63767,0.0005348,0.0005348,0.0005348
76,10321.6,1.02741,0.75002,1.19823,0.84125,0.65923,0.75358,0.49121,1.64314,1.26503,1.64257,0.000515,0.000515,0.000515
77,10456.4,1.02526,0.7463,1.19182,0.85133,0.66956,0.75812,0.49254,1.64507,1.24359,1.64169,0.0004952,0.0004952,0.0004952
78,10590.9,1.02521,0.74527,1.18918,0.82164,0.6739,0.75432,0.48963,1.66013,1.25007,1.65136,0.0004754,0.0004754,0.0004754
79,10725.2,1.02121,0.73823,1.18941,0.82502,0.67213,0.75538,0.49022,1.65788,1.251,1.65592,0.0004556,0.0004556,0.0004556
80,10860.2,1.01797,0.75274,1.19299,0.86604,0.6627,0.75568,0.49359,1.64001,1.25592,1.63663,0.0004358,0.0004358,0.0004358
81,10994.6,1.00428,0.71607,1.17475,0.84268,0.67859,0.75579,0.48962,1.67913,1.25438,1.68039,0.000416,0.000416,0.000416
82,11129.1,0.99129,0.70508,1.16877,0.83123,0.67485,0.75003,0.48694,1.67132,1.25278,1.66691,0.0003962,0.0003962,0.0003962
83,11264,0.98944,0.70383,1.16671,0.85557,0.65723,0.75034,0.49342,1.66768,1.26575,1.66121,0.0003764,0.0003764,0.0003764
84,11399.1,0.97637,0.68952,1.15848,0.86684,0.65723,0.75325,0.49046,1.66354,1.24893,1.67469,0.0003566,0.0003566,0.0003566
85,11534,0.97297,0.68507,1.15497,0.86159,0.6567,0.75138,0.49062,1.66241,1.25767,1.66127,0.0003368,0.0003368,0.0003368
86,11668,0.96915,0.68101,1.15735,0.85869,0.66738,0.75542,0.49423,1.66481,1.23132,1.66475,0.000317,0.000317,0.000317
87,11803.1,0.96679,0.68442,1.15864,0.85969,0.65754,0.75409,0.49108,1.66459,1.24179,1.6581,0.0002972,0.0002972,0.0002972
88,11937.7,0.95759,0.67574,1.14744,0.84288,0.66951,0.75119,0.49065,1.66583,1.25154,1.66985,0.0002774,0.0002774,0.0002774
89,12072.5,0.95463,0.66839,1.15299,0.85978,0.658,0.7549,0.49152,1.67711,1.26995,1.67502,0.0002576,0.0002576,0.0002576
90,12207.1,0.95277,0.66475,1.1516,0.83799,0.67657,0.75229,0.49199,1.6575,1.26857,1.66194,0.0002378,0.0002378,0.0002378
91,12342,0.94374,0.61291,1.13926,0.8347,0.66418,0.75036,0.48682,1.68968,1.25358,1.68987,0.000218,0.000218,0.000218
92,12476.2,0.9203,0.57045,1.12033,0.87009,0.64726,0.75355,0.48849,1.69234,1.25196,1.69502,0.0001982,0.0001982,0.0001982
93,12610.2,0.90376,0.55487,1.11241,0.84367,0.66578,0.75072,0.48603,1.69317,1.27333,1.69494,0.0001784,0.0001784,0.0001784
94,12744.2,0.89132,0.54537,1.10423,0.83375,0.67966,0.75189,0.48732,1.6885,1.25929,1.69097,0.0001586,0.0001586,0.0001586
95,12878.3,0.8895,0.5427,1.10247,0.83436,0.6831,0.75531,0.49017,1.68448,1.26202,1.68404,0.0001388,0.0001388,0.0001388
96,13012.6,0.88561,0.53339,1.0987,0.85357,0.67379,0.75459,0.49206,1.68395,1.26571,1.68827,0.000119,0.000119,0.000119
97,13146.6,0.87355,0.52788,1.09152,0.84367,0.6771,0.75467,0.48953,1.67953,1.26633,1.69051,9.92e-05,9.92e-05,9.92e-05
98,13281.1,0.86217,0.51238,1.09027,0.84682,0.67296,0.75201,0.49078,1.68699,1.28063,1.69275,7.94e-05,7.94e-05,7.94e-05
99,13415.1,0.86279,0.51928,1.09143,0.84753,0.67645,0.75295,0.48865,1.67423,1.27712,1.67789,5.96e-05,5.96e-05,5.96e-05
100,13549.3,0.86492,0.51026,1.08899,0.854,0.67966,0.75417,0.4903,1.67962,1.27318,1.68712,3.98e-05,3.98e-05,3.98e-05
